FIPS,Total_Juvenile_Arrests
39073,135.0
39075,47.5
39077,308.0
39079,197.0
39081,150.0
39083,280.0
39085,873.0
39087,245.0
39089,540.0
39091,300.0
39093,1111.0
39095,2921.0
39097,145.0
39099,446.0
39101,524.0
39103,550.0
39105,109.0
39107,299.0
39109,755.0
39111,104.0
39113,2095.0
39115,64.0
39117,154.0
39119,693.0
39121,29.0
39123,384.0
39125,142.0
39127,204.0
39129,148.0
39131,43.0
39133,436.0
39135,191.0
39137,90.0
39139,823.0
39141,462.0
39143,527.0
39145,405.0
39147,289.0
39149,206.0
39151,1256.0
39153,1916.0
39155,575.0
39157,344.0
39159,182.0
39161,180.0
39163,118.0
39165,1025.0
39167,199.0
39169,664.0
39171,197.0
39173,786.0
39175,137.0
40001,22.5
40003,13.5
40005,18.5
40007,5.0
40009,97.0
40011,61.5
40013,116.0
40015,60.0
40017,492.0
40019,145.5
40021,106.0
40023,28.0
40025,5.0
40027,355.0
40029,9.5
40031,513.0
40033,13.0
40035,56.0
40037,145.5
40039,127.5
40041,270.0
40043,5.0
40045,10.0
40047,289.0
40049,101.0
40051,71.5
40053,6.0
40055,11.5
40057,24.0
40059,7.5
40061,29.5
40063,35.0
40065,64.0
40067,7.5
40069,14.5
40071,258.0
40073,36.5
40075,11.0
40077,21.0
40079,69.0
40081,75.0
40083,147.0
40085,30.0
40087,96.5
40089,109.0
40091,74.0
40093,7.5
40095,35.5
40097,118.0
40099,54.5
40101,211.5
40103,15.0
40105,59.0
40107,58.0
40109,1053.5
40111,68.5
40113,97.0
40115,167.5
40117,18.0
40119,223.0
40121,86.0
40123,222.0
40125,225.5
40127,49.5
40129,11.0
40131,229.5
40133,99.0
40135,92.0
40137,80.5
40139,88.5
40141,21.5
40143,1981.0
40145,145.0
40147,248.0
40149,37.5
40151,18.0
40153,158.5
41001,124.5
41003,254.0
41005,1354.0
41007,309.0
41009,209.0
41011,255.0
41013,134.0
41015,126.0
41017,1105.0
41019,503.0
41021,16.5
41023,35.0
41025,35.5
41027,108.0
41029,887.0
41031,127.0
41033,253.0
41035,326.0
41037,26.0
41039,1214.0
41041,226.5
41043,1054.0
41045,373.0
41047,1796.0
41049,70.0
41051,2388.0
41053,425.0
41055,0.0
41057,206.5
41059,463.0
41061,206.5
41063,16.5
41065,167.0
41067,1947.0
41069,0.0
41071,458.0
42001,169.0
42003,2511.0
42005,71.0
42007,336.5
42009,44.0
42011,801.0
42013,311.0
42015,103.5
42017,667.0
42019,213.5
42021,285.0
42023,12.5
42025,80.0
42027,87.5
42029,565.0
42031,62.0
42033,132.5
42035,86.0
42037,90.5
42039,140.5
42041,433.5
42043,892.0
42045,1113.5
42047,29.0
42049,597.0
42051,499.0
42053,7.0
42055,311.5
42057,15.0
42059,21.5
